Protocol,Packet_Length,Duration,Bytes_Sent,Bytes_Received,Flow_Packets/s,Flow_Bytes/s,Avg_Packet_Size,Total_Fwd_Packets,Total_Bwd_Packets,Fwd_Header_Length,Bwd_Header_Length,Sub_Flow_Fwd_Bytes,Sub_Flow_Bwd_Bytes,Inbound,Attack_Type,Label
UDP,292,1.52,1792,276,25.3,1294.4,256,33,20,512,128,1193,878,0,Ransomware,0
UDP,1669,1.28,348,1098,16.3,1211.4,64,39,38,128,128,1445,1634,0,DDoS,1
TCP,888,2.6,1631,279,25,1208.1,512,34,24,128,256,267,808,1,Normal,0
TCP,1685,3,1172,791,15,1999.1,64,22,15,256,128,1953,821,1,Ransomware,0
UDP,1124,2.74,96,728,30.6,1602.5,256,18,34,256,512,266,2023,0,DDoS,1
ICMP,1240,3.96,1246,1010,23.8,1283.7,1024,38,26,512,512,917,1903,1,Ransomware,1
UDP,1394,0.82,1072,1346,25.9,409.6,256,40,43,512,128,139,773,0,Normal,1
TCP,242,0.89,1869,1708,19,1217,256,10,42,128,128,1564,1035,1,DDoS,1
UDP,470,2.13,1919,237,27.2,1518.4,256,10,34,512,128,1429,815,1,Brute Force,0
TCP,1762,3.37,837,663,20,1530.5,512,41,40,512,256,271,397,1,Normal,0
UDP,1992,1.39,703,312,31.6,851.6,256,11,32,128,128,166,1269,0,Brute Force,1
TCP,653,2.65,242,1105,18.8,1726.6,64,12,31,256,512,606,396,1,Ransomware,0
UDP,593,3.96,1104,118,34.4,1586.8,64,38,27,512,512,558,493,0,DDoS,0
ICMP,400,2.09,2024,700,32.1,145.8,256,39,10,128,256,1482,1314,1,Brute Force,0
ICMP,765,4.15,1299,1492,12.9,1905,256,14,13,256,128,1732,562,1,Brute Force,0
UDP,1868,3.4,1667,1929,12.6,1437.8,64,29,26,128,512,1819,495,1,Brute Force,1
ICMP,351,3.25,1634,1165,38,620.9,256,43,27,128,128,946,1914,0,Brute Force,1
ICMP,1404,2.03,1255,1253,28.4,1936,256,15,10,256,128,1265,1472,1,Brute Force,0
TCP,935,3.23,1934,1543,19.7,1533.2,256,16,38,256,256,1628,874,1,Ransomware,0
ICMP,290,2.46,509,1080,39.2,768.4,64,13,43,256,128,387,778,1,Brute Force,1
UDP,1350,4.11,429,562,16.6,1910.6,512,13,18,256,512,706,1144,1,Normal,1
TCP,1509,0.52,1446,1727,36.6,1721.1,1024,42,42,512,256,1708,1907,1,DDoS,1
TCP,1357,0.28,976,2019,14.7,778.6,256,29,42,256,512,310,2004,0,Brute Force,1
ICMP,884,0.42,1504,1233,15.5,112.4,512,43,41,256,512,880,1218,0,Ransomware,0
ICMP,1754,4.11,2035,1646,10.8,489.8,512,33,46,128,512,1701,1215,0,Ransomware,1
TCP,1969,1.07,553,159,39.1,1929.2,512,30,47,256,512,144,463,0,Ransomware,0
TCP,846,2.99,119,408,39.2,2001.5,64,48,10,128,512,1432,413,1,DDoS,0
TCP,1055,0.65,1295,883,33.3,1962.1,1024,31,47,128,512,1971,1827,1,DDoS,1
UDP,1826,1.54,1717,728,30.6,108.9,64,35,37,128,512,1984,1709,1,Brute Force,0
ICMP,367,3.24,1136,1474,26.4,437.9,512,49,37,256,128,550,1061,1,Brute Force,1
UDP,133,4.48,1239,1987,19.7,576.3,256,49,26,256,256,1956,864,0,Normal,0
UDP,177,0.74,397,1192,35.1,749.9,1024,47,21,256,128,1655,1258,0,Brute Force,1
ICMP,305,1.72,1943,1701,27.5,253.9,512,42,21,256,128,1364,782,0,Ransomware,0
UDP,1226,3.54,1791,875,20.4,1408.9,512,26,17,512,128,560,1825,1,Ransomware,1
ICMP,1933,0.4,1957,1717,31,1220,256,43,36,512,128,1700,1665,0,Brute Force,1
ICMP,632,1.94,1199,1066,24,1054.5,1024,39,44,256,256,1827,1365,1,Brute Force,0
ICMP,423,0.75,1023,1990,20.3,293.2,1024,12,22,256,128,1313,1202,0,Normal,0
UDP,1628,0.63,1423,1951,38.8,554,512,37,27,512,512,1763,799,0,Brute Force,1
TCP,430,0.19,1732,1432,33.3,796,64,18,11,128,256,721,1098,0,Ransomware,0
UDP,77,1.33,1573,1563,22.2,1059.8,512,16,24,512,512,1753,897,0,DDoS,1
UDP,1501,4.16,647,297,14.8,365.9,512,30,19,256,128,491,1721,1,DDoS,0
ICMP,1914,1.57,960,912,11.6,1197.3,64,39,45,256,512,427,1817,0,Normal,0
UDP,1478,2.43,674,978,16.8,1716.2,64,32,37,128,256,1227,2021,0,Brute Force,1
TCP,986,3.16,1435,1090,18.3,1342.3,1024,49,32,256,256,170,562,0,Brute Force,0
UDP,127,3.51,104,1873,22.2,457.4,512,45,10,256,256,294,771,1,Brute Force,1
ICMP,1089,1.73,1819,1766,25,738.2,256,27,25,512,512,1459,845,1,Brute Force,1
UDP,1227,4.29,1955,237,28.9,907.4,64,29,47,512,512,793,535,1,Brute Force,0
UDP,1296,3.92,780,558,18.4,1466.5,512,26,12,128,128,1700,598,1,Ransomware,0
TCP,1858,3.52,1909,432,38.1,1682.7,256,28,22,128,256,350,213,0,Normal,0
ICMP,1472,4.07,695,1419,29.9,1063.3,1024,32,29,512,512,1681,208,0,DDoS,0
ICMP,1540,4.81,1852,681,19.2,1263.6,512,45,38,256,512,1721,854,1,DDoS,0
ICMP,581,2.64,1278,1307,37,1555.6,256,20,30,512,256,139,1458,1,Ransomware,0
UDP,1991,4.65,2042,350,11.2,1657.6,1024,29,44,256,128,1046,641,0,DDoS,1
TCP,1121,0.71,382,1620,22,385.6,1024,34,26,512,128,1910,626,0,Ransomware,1
ICMP,1067,4.79,1037,218,36,1016.3,1024,45,33,512,512,1999,1324,0,DDoS,0
ICMP,888,1.49,171,1428,12.3,1139.3,64,18,23,512,256,1367,776,0,Brute Force,1
ICMP,498,4.52,410,438,22.7,934.6,64,42,39,128,128,605,1515,1,DDoS,1
ICMP,2031,4.75,1095,1043,20.6,1698.5,256,10,33,512,128,244,268,1,Ransomware,0
ICMP,1225,3.8,467,1034,32.6,709.7,64,16,23,128,128,1118,457,0,Ransomware,0
ICMP,1211,3.1,1281,830,14.5,1238.2,256,25,31,128,128,727,187,0,DDoS,0
TCP,122,4.95,229,1646,35.6,1298.8,1024,36,47,256,128,938,770,1,DDoS,1
ICMP,1394,2.22,428,1266,34.5,508.3,1024,17,21,128,512,1951,440,1,DDoS,0
UDP,1559,1.29,876,1123,11.4,498.5,512,32,30,512,256,1743,1010,1,Brute Force,0
ICMP,1526,1.96,796,1199,24.3,1980.3,512,49,35,256,128,1575,1326,0,Normal,0
UDP,518,1.44,916,1088,34.8,598.8,1024,49,16,512,512,1186,870,0,Brute Force,0
UDP,1810,2.79,2001,343,15.1,1892.6,512,27,20,128,256,1511,888,1,DDoS,1
ICMP,1353,0.8,1876,232,24.6,1847.5,512,48,18,256,256,1618,1559,1,Ransomware,0
ICMP,277,4.37,1992,1727,25.7,1089.7,256,20,36,256,128,712,348,1,Ransomware,0
TCP,301,1.04,1862,1843,11,1544.2,64,15,16,256,128,1328,1065,0,DDoS,0
TCP,591,2.41,182,137,14.7,659.1,256,38,41,512,128,318,1539,1,Normal,0
UDP,817,0.2,189,479,13.2,1401.3,64,38,16,512,128,1252,432,1,Brute Force,0
UDP,1522,4.91,1461,856,14.2,1133.2,256,22,29,512,256,147,905,1,DDoS,0
TCP,768,4.48,212,1305,22.9,840.3,512,22,44,256,128,813,1241,1,Brute Force,0
UDP,546,1.06,548,744,20.8,693.1,512,10,45,512,128,1416,727,0,Ransomware,1
ICMP,713,2.2,180,708,20.6,172.6,512,31,31,256,128,363,615,0,Brute Force,0
ICMP,1980,1.04,173,820,16.4,413.7,64,10,21,512,256,1237,784,1,Brute Force,0
TCP,790,2.52,1946,1560,14.4,2034.4,1024,46,34,256,128,204,1505,0,Brute Force,1
ICMP,1648,2.18,1048,1938,26.2,1578,64,24,46,512,256,1011,891,1,Ransomware,0
TCP,934,4.76,1424,1837,25.6,1619.5,512,40,17,256,512,306,625,0,DDoS,0
TCP,299,0.14,321,1685,10.2,1170.2,512,44,48,128,256,1257,1337,1,DDoS,0
TCP,222,1.47,242,582,26.6,2039.8,64,35,33,512,128,1060,592,0,Ransomware,1
UDP,418,2.74,974,876,15.2,308.9,64,31,44,512,128,980,288,1,DDoS,0
UDP,568,4.24,1497,748,19.2,1303.7,512,28,34,512,256,1584,405,1,DDoS,1
UDP,1624,2.29,1155,684,30.2,834.3,256,33,47,128,128,1840,1803,0,Brute Force,1
UDP,144,1.26,950,1138,37,1112.7,64,31,22,256,128,1607,266,1,Normal,0
TCP,613,3.67,1256,920,17.6,327.1,1024,24,15,256,128,1259,320,1,Normal,1
UDP,1306,3.92,1701,241,34.9,1181.7,256,28,22,128,256,723,1301,0,DDoS,1
TCP,668,3.96,409,1197,32.3,1950.8,256,21,12,512,512,983,1545,0,DDoS,1
UDP,1692,4.31,895,1995,38.1,2020.4,512,30,22,128,128,1990,1631,1,Ransomware,0
ICMP,1771,1.5,1127,1774,22.7,1956,1024,25,42,128,128,1071,926,0,Normal,0
ICMP,651,1.4,1516,64,30.6,1649.1,1024,33,18,128,512,616,1552,0,DDoS,0
TCP,485,0.95,1000,690,19.2,1521.1,1024,34,19,512,256,400,166,0,DDoS,1
ICMP,303,4.61,1458,1525,23.5,420.5,64,18,45,128,128,476,1476,1,DDoS,0
TCP,1698,1.3,762,1641,11.5,2013.4,64,31,40,512,256,1000,1967,0,Brute Force,1
UDP,1653,0.53,1183,96,21.6,1854,64,33,27,128,256,1777,1727,1,Ransomware,1
ICMP,1810,3.63,262,305,13.3,1236.4,1024,16,38,256,512,1803,1916,0,Normal,1
UDP,1082,1.87,1078,172,18.8,1700.3,1024,27,22,512,512,2030,1112,0,Brute Force,1
TCP,483,0.95,1778,914,30,1469.6,512,11,17,256,256,1090,1878,0,Brute Force,0
TCP,1755,3.56,1443,407,25.6,1439.5,64,39,43,512,256,154,951,1,DDoS,0
ICMP,226,0.49,317,1488,39.8,710.5,1024,10,18,256,128,187,817,1,Ransomware,0
ICMP,1942,4.85,848,1128,27.1,1340.3,256,49,21,256,128,342,377,1,Ransomware,0
TCP,995,4.33,88,366,13,1507,256,22,32,256,256,1248,1421,0,DDoS,1
TCP,1582,0.23,1173,203,34,1783.1,64,11,28,128,512,1915,1001,0,Ransomware,0
UDP,70,2.83,1715,1424,30.5,2006.5,256,40,17,128,256,589,1672,1,Brute Force,1
TCP,1448,0.84,755,1594,12,1998.8,256,40,45,128,512,637,1473,0,Normal,0
ICMP,273,2.81,169,137,36,672.7,1024,37,35,128,128,1624,1669,0,Brute Force,1
TCP,1507,3.85,1001,1848,11.5,1937.6,64,38,32,128,256,1040,1350,0,Normal,0
TCP,1938,4.12,1084,1828,10.2,848.1,512,18,47,256,128,1853,271,0,Normal,1
ICMP,578,0.68,541,98,30.9,410,512,47,32,128,128,298,239,0,Normal,1
UDP,538,3.22,664,1335,31.3,576.1,256,34,43,256,256,235,1542,1,Normal,1
UDP,450,0.37,126,2005,14.1,299.1,512,47,36,128,512,1407,1146,1,Normal,1
ICMP,1155,4.97,981,1606,30.7,236.2,256,21,35,256,256,1745,1358,1,DDoS,1
UDP,1361,3.16,1374,284,21.1,225.3,512,12,26,512,256,461,1143,0,Normal,1
TCP,574,0.68,1761,281,32.1,1525.9,1024,47,45,256,256,574,1002,0,DDoS,1
UDP,1827,4.3,244,1120,25.4,221.3,1024,30,27,512,128,420,265,1,DDoS,0
TCP,974,3.43,565,361,13.9,658.3,64,35,45,256,512,444,1489,0,Normal,1
ICMP,1809,1.02,1281,1677,21.7,1271.4,512,41,37,128,512,1152,1508,1,Ransomware,1
TCP,1245,2.07,260,1637,25.3,1772.4,64,19,24,128,128,316,1721,1,Ransomware,0
TCP,966,1.87,1219,319,26.4,677.9,256,36,14,256,512,361,991,1,DDoS,1
UDP,1259,1.61,476,1117,26.7,342.4,1024,26,41,512,128,433,1516,1,Normal,0
ICMP,1304,1.45,459,1857,18,1496.3,64,12,44,256,128,1449,1458,1,Normal,1
UDP,829,1.69,1983,1464,38.1,1178.1,512,42,31,256,256,1536,552,1,Normal,1
UDP,960,3.5,285,1544,19.8,1289.2,64,14,22,128,128,1934,444,1,Ransomware,1
TCP,903,0.19,969,1876,31.8,1235.2,256,47,27,512,256,581,1992,1,Brute Force,1
TCP,245,2.84,269,1722,20.7,926,256,17,43,128,256,1673,1055,1,Brute Force,1
ICMP,989,4.5,1848,941,38.2,148.1,64,18,46,128,256,1661,677,1,Normal,0
UDP,1955,1.89,2026,431,36,301,512,30,18,256,512,572,542,1,Normal,0
UDP,1985,0.8,510,246,16.1,100.8,512,36,39,512,256,444,150,0,Brute Force,0
ICMP,1747,2.74,342,1290,20.8,353,512,26,11,512,256,1284,593,1,Brute Force,0
ICMP,777,2.99,1441,462,37.5,712.8,64,26,29,512,128,1657,1288,1,Brute Force,1
ICMP,1605,4.7,1192,984,25,453,256,28,25,256,256,896,1061,1,Ransomware,0
UDP,1691,2.71,1830,1620,19.2,270.6,64,44,33,512,128,873,828,1,DDoS,1
UDP,1704,0.36,1769,698,21.2,1779.3,512,20,18,256,256,1502,906,1,Ransomware,1
TCP,1971,0.62,379,168,18.1,941.8,512,28,17,512,512,201,1854,0,Brute Force,0
ICMP,338,3.78,1310,940,11.2,1177.1,64,27,38,256,256,1562,437,0,Brute Force,0
UDP,690,3.82,1043,129,20.5,791.2,1024,27,41,256,256,1276,690,1,DDoS,1
TCP,242,2.58,1307,2031,32.6,418.9,512,37,43,256,128,1268,1116,0,Normal,1
UDP,1282,0.52,674,567,12.1,1925,256,16,43,512,512,1249,1821,0,Brute Force,0
ICMP,803,2.48,640,989,12.2,1981.9,256,34,13,128,256,839,934,0,Normal,1
ICMP,1422,4.07,1379,1134,38.8,1198.7,512,19,24,128,128,1672,467,0,DDoS,1
UDP,2037,0.18,180,69,36.8,1427.4,64,32,21,512,512,1007,1055,0,Brute Force,1
ICMP,863,2.13,998,257,27.1,540,1024,30,22,128,512,822,827,0,DDoS,0
TCP,1168,4.33,1124,220,31,1281,64,17,26,256,256,1408,1505,1,Ransomware,1
UDP,1976,0.53,1136,508,24.5,652.3,256,16,45,512,256,312,898,0,Brute Force,0
TCP,300,3.36,931,498,19.6,1428,256,45,26,512,128,574,1719,1,Brute Force,0
UDP,795,3.33,1878,875,17.2,1271.7,256,23,30,128,256,177,808,0,DDoS,1
TCP,979,2.84,140,470,11.5,1174.7,256,13,33,128,128,1880,416,0,Ransomware,1
UDP,1358,2.99,335,1919,37.1,683.5,64,38,48,256,256,1873,1319,1,Brute Force,0
ICMP,1384,3.67,1073,711,32.8,995,256,14,28,128,512,812,702,0,Ransomware,1
TCP,796,2.18,1503,913,17.5,1284.8,1024,44,45,128,128,1504,419,1,Brute Force,0
UDP,1255,1.54,763,227,24.3,532.8,512,24,42,256,512,1283,1184,1,DDoS,1
UDP,1974,0.13,1763,287,27.8,1205.6,512,27,39,128,128,917,1551,0,Normal,1
UDP,1708,2.78,1817,1805,20.7,1732.6,256,25,31,256,128,149,1671,0,Brute Force,1
UDP,271,0.97,1124,863,14.1,482.2,256,45,41,128,256,1109,1371,0,DDoS,0
UDP,287,3.33,2041,967,32.1,1107.2,512,41,37,512,128,352,1581,1,Brute Force,0
ICMP,1706,3.49,67,891,20.1,981.5,256,44,28,512,256,1495,1690,0,Brute Force,0
TCP,1705,2.57,140,1867,26,1727.9,1024,38,22,256,128,1050,1358,0,Normal,0
ICMP,544,4.58,639,1658,29.7,1077.8,256,41,13,512,128,1891,1468,1,Brute Force,0
UDP,291,0.24,1470,1404,22.5,308.5,512,27,15,512,512,465,286,0,Normal,0
ICMP,1641,2.13,1300,1556,13.1,1676.7,64,13,44,128,512,921,1015,1,DDoS,1
TCP,397,1.79,131,844,17.2,1969.9,256,15,21,512,256,1946,313,1,Normal,1
TCP,837,1.6,2007,495,12.4,1710.8,1024,34,13,128,512,307,486,1,Brute Force,0
UDP,289,0.5,2019,1914,21.8,1104.2,256,38,13,512,256,317,655,0,Brute Force,0
ICMP,1664,4.26,150,1291,28.6,1835.1,64,22,35,256,128,256,1988,1,Brute Force,0
UDP,419,2.75,1750,349,30.8,690.3,1024,34,30,256,128,231,951,1,DDoS,0
ICMP,996,4.23,96,1434,13.3,1528.4,256,18,45,256,256,766,1501,1,Ransomware,1
UDP,1615,0.96,1861,1351,14.5,1376.2,256,24,25,128,256,464,1527,1,Brute Force,1
ICMP,305,4.08,1459,1959,25.5,1932.2,1024,34,10,512,512,687,467,1,Ransomware,0
ICMP,903,0.11,1208,312,39.3,113.4,512,16,34,256,512,1144,1525,0,DDoS,0
UDP,443,1.47,374,458,15.3,524.5,64,44,20,512,256,1256,332,0,Brute Force,0
UDP,1157,3.05,998,1548,38.4,603.4,512,16,26,128,512,1784,1468,0,Brute Force,0
TCP,1513,4.24,1808,161,11.4,1421.2,512,37,10,256,512,246,1983,0,Brute Force,0
TCP,1982,1.85,1954,865,28.5,1903.4,256,18,24,256,128,914,984,0,Ransomware,1
UDP,149,4.85,1309,1694,29.8,241.8,64,17,32,256,512,1837,1400,0,Ransomware,1
TCP,1195,3.87,551,1656,10.9,1240.3,256,35,22,128,256,295,179,0,DDoS,0
TCP,249,0.43,1446,106,18.6,1499.3,64,15,18,512,256,2013,1259,0,DDoS,0
UDP,267,3.94,1906,1049,20.6,199.7,64,43,28,256,128,133,855,0,Brute Force,1
TCP,1448,1.56,701,735,25.9,959.9,256,43,22,256,256,1714,1496,1,DDoS,1
TCP,1792,1.31,793,1931,10.2,100.2,256,40,32,256,256,1795,1266,1,DDoS,0
UDP,1104,1.91,1211,620,21.9,1635.5,256,16,21,128,256,730,1645,0,DDoS,1
TCP,1599,0.18,1091,603,12.7,1407.8,64,42,48,512,512,1978,410,0,Ransomware,1
UDP,1655,4.79,919,917,20.1,435.9,256,16,24,512,128,1840,228,1,Brute Force,1
ICMP,1922,3.66,1442,1894,21.9,150.4,512,31,13,512,256,1111,828,0,Brute Force,1
UDP,532,1.88,1495,448,11,1226.4,256,36,16,128,512,1186,553,1,Normal,1
TCP,1184,4.06,1659,501,29.5,690.5,256,35,49,128,256,976,1964,1,DDoS,1
ICMP,338,2.01,992,489,35.3,624.1,1024,46,28,512,128,738,1220,0,DDoS,0
UDP,1930,0.8,1343,84,25.4,1172,64,37,44,256,128,1342,260,1,Normal,0
UDP,1607,1.41,1560,474,20.9,230,256,37,39,128,256,388,1651,0,DDoS,1
UDP,531,2.59,721,1838,34.9,572.4,64,21,11,512,256,925,2030,0,DDoS,1
ICMP,1543,1.86,1918,1955,34.8,1883.6,1024,37,32,512,512,1352,1743,0,Normal,1
TCP,1524,3.01,1715,738,30.5,1847.7,512,32,20,512,128,581,451,1,Normal,0
TCP,81,4.07,717,169,29,1736.9,512,14,42,128,512,1564,1971,1,Normal,1
ICMP,1257,0.78,1156,2037,20.6,1162.6,256,17,20,256,512,978,930,1,Ransomware,1
ICMP,1213,4.04,1368,393,29,1721.1,64,25,25,128,256,132,1396,1,Brute Force,1
TCP,302,2.07,612,1310,13.3,1400,512,22,21,256,256,1499,185,1,Ransomware,1
ICMP,1132,1.24,870,1446,19.5,404.1,256,42,27,512,128,1415,1667,1,Normal,0
UDP,291,4.2,373,1921,25.4,1132.6,512,15,10,512,128,1427,208,0,DDoS,1
UDP,1797,0.21,1101,641,21.8,1501.5,256,36,33,256,512,360,1060,0,DDoS,0
ICMP,1141,3.28,879,1488,24,318,64,29,28,512,256,1533,698,0,Ransomware,0
ICMP,574,0.76,1379,768,10.2,719.8,64,28,43,256,128,173,749,0,DDoS,0
TCP,1825,1.98,886,1505,17.2,396.6,64,20,42,512,512,192,2002,0,Normal,0
ICMP,1865,4.02,253,1707,29.3,1790.4,256,49,44,128,512,538,1378,0,Ransomware,1
UDP,1904,4.23,154,968,29.1,126,256,40,22,128,128,1613,1400,1,Ransomware,0
ICMP,767,4.71,65,984,25.8,539.6,256,22,22,256,256,616,1900,0,Brute Force,1
UDP,1419,0.36,1025,1483,32.1,1981.7,256,16,15,512,256,1188,238,1,Brute Force,1
TCP,342,1.64,1466,977,13.8,1068.9,1024,17,15,256,256,614,563,1,Normal,0
UDP,1563,0.28,643,309,35.2,468.9,512,12,37,256,128,641,1017,1,Brute Force,0
TCP,1560,1.35,1550,576,27.9,1363.4,64,21,44,512,256,1865,132,0,Normal,0
TCP,1513,1.04,1208,116,11.7,1676,64,15,49,128,128,204,1877,1,Ransomware,1
UDP,517,4.34,1246,1292,14.1,1895.4,64,11,36,512,512,1810,1894,0,Ransomware,0
UDP,1538,0.89,1135,556,31.2,693.4,256,26,21,512,512,995,1630,0,Ransomware,0
UDP,149,4.39,1982,1914,31,1769.8,1024,48,34,256,256,459,959,1,DDoS,0
UDP,1962,2.28,1309,1114,23.3,1498.4,64,26,43,512,256,588,1885,0,Brute Force,1
UDP,726,2.67,1147,1604,16.9,1960.1,64,38,13,256,512,1917,988,1,Normal,1
TCP,744,0.43,1084,339,33.4,1516.9,64,20,26,256,128,1614,987,0,Brute Force,1
ICMP,980,3.39,1737,1846,32,1699.3,1024,40,32,128,256,966,599,1,DDoS,1
ICMP,116,4.25,998,982,21.5,410.7,256,35,33,256,256,1219,657,0,DDoS,1
TCP,1786,1.5,1899,1947,28.8,754.6,512,42,35,256,128,1055,1157,0,Normal,0
TCP,322,4.84,1155,1045,20.3,187.1,256,39,41,512,256,1266,582,1,Normal,1
ICMP,283,3.17,1249,521,11.5,661.9,64,13,38,512,512,824,613,0,Normal,0
TCP,243,0.13,1567,987,11.9,1938.9,64,33,20,256,256,1597,1431,0,Normal,1
UDP,1356,3.5,1994,447,13.8,1279.2,1024,46,24,512,256,176,1179,1,Normal,1
ICMP,781,3.17,1705,976,33.4,511,64,19,17,128,512,1213,982,1,DDoS,1
ICMP,979,3.99,1836,1943,36,1369.5,1024,15,16,512,512,1042,1144,1,DDoS,0
UDP,472,3.94,330,1983,39,1585.4,512,37,32,512,128,1387,1494,0,Ransomware,0
ICMP,915,1.28,104,108,10.3,918.2,64,22,41,256,128,1968,1295,0,Normal,0
ICMP,1637,4.98,510,468,23.4,504.7,1024,36,40,128,128,1645,1909,1,Ransomware,1
ICMP,550,4.83,176,1192,37.8,838.8,512,46,32,128,512,208,318,0,Brute Force,1
UDP,1489,1.08,430,647,29.9,1207.6,1024,39,37,512,128,855,513,1,Ransomware,0
ICMP,1007,3.56,122,1553,32.7,1600.7,1024,14,27,256,512,321,1458,1,Normal,1
ICMP,789,3.38,79,1220,36.9,806.2,1024,45,37,128,256,1301,1844,1,Normal,1
TCP,1428,2.84,787,1504,35.2,192,512,39,18,128,512,1155,218,0,Ransomware,0
UDP,1433,3.22,1379,1886,28.8,821.4,256,20,48,512,512,1344,1558,0,Normal,0
ICMP,964,0.82,934,943,25.3,1120.9,1024,27,34,512,512,424,621,0,Ransomware,0
ICMP,1760,1.67,1391,502,18.9,1093.4,512,44,12,256,128,434,990,1,Brute Force,0
UDP,1694,2.65,1319,872,17.6,348.7,512,46,23,512,256,861,1384,1,DDoS,0
ICMP,1198,3.96,1025,1412,19.7,174.1,64,19,34,512,512,1238,989,1,Normal,0
UDP,169,3.42,780,878,29.8,957.5,256,42,37,128,128,1072,1830,1,Brute Force,0
ICMP,1740,2.01,918,1197,38.8,1910.6,512,14,28,256,256,1908,1017,0,Normal,1
UDP,1916,1.36,1724,1298,29.7,727.7,256,15,37,512,256,1420,1985,0,DDoS,0
ICMP,732,3.78,773,1300,23.8,1124.5,1024,46,36,256,256,1529,264,1,Normal,0
UDP,939,4.45,1069,1362,31.4,1465.2,512,24,27,256,256,1552,1153,0,DDoS,0
UDP,1686,0.87,1099,1870,37.2,509,512,18,14,512,512,768,441,1,Brute Force,0
ICMP,598,2.72,1658,1753,39.5,367.6,64,11,28,512,128,821,324,1,DDoS,1
TCP,922,0.86,1648,2035,35,1498.5,256,38,46,128,512,1280,391,0,DDoS,1
UDP,1025,1.37,1037,1197,10.4,749.1,256,43,27,512,512,586,255,0,Normal,1
ICMP,795,2.66,234,1227,36.6,495.9,64,30,20,512,512,1299,487,1,Ransomware,1
TCP,1017,1.94,1678,768,16.1,596.2,256,20,10,128,512,1972,1113,1,Brute Force,1
UDP,692,2.29,752,1068,37.8,1785.2,512,16,26,128,512,1258,960,1,Brute Force,1
UDP,324,0.46,363,755,39.2,822.4,512,44,18,512,256,341,1133,1,DDoS,0
ICMP,252,0.32,1246,1148,15.7,281.9,64,22,27,256,256,1317,1042,0,Brute Force,0
ICMP,1969,3.08,479,83,14.2,1284,64,45,40,128,256,1327,1376,0,Normal,0
TCP,1884,0.77,1749,1645,24.7,629.8,64,21,10,256,128,1067,1238,1,Brute Force,0
TCP,1247,3.84,738,1708,23.7,1750.3,512,31,12,128,512,673,128,1,DDoS,1
ICMP,967,1.23,157,1724,25.4,1906,512,40,42,512,128,1686,170,0,Ransomware,1
TCP,1166,2.73,912,1670,19.5,1670.3,256,13,46,512,128,472,670,1,Brute Force,1
ICMP,171,1.22,1424,555,12.6,1579.2,1024,40,46,128,128,960,1462,0,Ransomware,1
UDP,272,0.13,1098,1291,14.7,1429.2,1024,14,40,512,256,1541,1654,0,DDoS,0
ICMP,527,3.87,801,210,27.8,901.6,1024,38,46,256,256,1230,680,1,Ransomware,1
UDP,339,1.05,1086,492,33,1189.2,512,37,16,128,256,1396,1168,0,Brute Force,0
UDP,1220,0.58,1232,1528,13.5,1119.9,512,15,20,512,128,1312,323,1,DDoS,1
TCP,283,2.85,102,604,10.3,1337.6,1024,42,21,512,512,1003,1350,1,Brute Force,0
TCP,1693,1.2,592,1085,32.8,331.2,1024,26,30,256,512,166,1251,0,Normal,0
TCP,830,1.16,952,861,17.7,1379.1,1024,32,19,256,128,747,1088,0,Ransomware,0
UDP,1156,2.38,864,821,25.7,570.4,256,44,31,256,256,1252,1104,1,Ransomware,1
UDP,728,3.91,215,1009,21.7,1670.6,1024,37,43,256,512,756,1925,1,Normal,0
UDP,2041,2.39,560,312,24.9,991.3,1024,47,13,512,256,1984,1489,0,Brute Force,0
UDP,854,4.57,620,828,23.5,1240.9,64,10,34,128,256,1202,1021,1,DDoS,1
TCP,1263,2.25,1855,1349,25.7,386.9,1024,49,48,256,256,603,1667,1,Normal,1
TCP,1477,3.82,1099,1603,29.2,206.6,256,38,11,256,128,1281,1410,1,Normal,1
ICMP,1859,0.31,510,900,34.2,1653.4,256,17,16,128,512,1916,590,0,DDoS,1
ICMP,938,2.88,1183,1836,38,1440.1,64,43,11,256,128,1487,293,0,Normal,1
TCP,2006,0.52,1315,467,40,1622.6,1024,36,17,512,256,786,1835,0,Ransomware,1
TCP,164,4.78,244,794,27.7,1891.7,512,27,28,256,256,1677,1098,1,Normal,1
ICMP,523,2.87,1917,1457,24.9,692.1,1024,16,40,128,512,967,297,0,DDoS,1
ICMP,1986,4.49,1113,1010,26.4,668.9,256,18,31,512,256,995,1011,0,DDoS,1
UDP,1993,3.99,1298,830,36.3,1141.7,256,21,18,128,512,261,1087,0,Brute Force,1
TCP,877,4.5,705,2001,15,664.3,1024,18,45,512,512,1545,939,1,Ransomware,0
ICMP,643,4.9,451,613,31,1618.6,256,18,45,256,512,1290,1792,1,Normal,1
TCP,886,4.09,1685,758,28.4,1066.3,512,43,44,128,128,1164,245,1,Normal,0
ICMP,738,4.13,616,1850,35.1,860.1,512,40,35,512,256,1595,906,1,DDoS,0
ICMP,1192,0.89,376,143,21.3,794.2,256,48,26,128,256,1089,880,0,Brute Force,1
UDP,700,3,1620,377,21.7,481.2,64,13,13,128,256,1263,1820,1,Ransomware,0
TCP,1378,1.24,1925,166,12,1597.8,256,18,25,256,512,1448,1051,0,Normal,0
ICMP,930,2.89,135,809,38.3,1421.5,256,48,28,128,512,1101,427,1,Normal,1
